N;Date;Station;Depth;Net_size;Fraction;Pre_weight;Dried_weight;zooplankton_dry_weight;/fraction;;Note 
24;44131;Takvatn;60;90; 1/8;0,1304;0,1399;0,0095;0,076;;Guessed the fraction
22;44131;Takvatn;20;90; 1/4;0,1335;0,1385;0,005;0,02;;Guessed the fraction
10;44131;Takvatn;20;20; 1/4;0,1332;0,1347;0,0015;0,006;;Guessed the fraction
23;44131;Takvatn;60;50; 1/8;0,1349;0,1459;0,011;0,088;;Guessed the fraction
;44131;Takvatn;60-20;90;;;;;0,056;;
17;44159;Takvatn;60;90; 1/8;0,1461;0,1548;0,0087;0,0696;;
15;44159;Takvatn;20;90; 1/4;0,1458;0,15;0,0042;0,0168;;
18;44159;Takvatn;60;50; 1/8;0,1329;0,1464;0,0135;0,108;;
16;44159;Takvatn;20;20; 1/4;0,1276;0,1281;0,0005;0,002;;
;44159;Takvatn;60-20;90;;;;;0,0528;;
20;44211;Takvatn;60;90; 1/4;0,145;0,1615;0,0165;0,066;;
21;44211;Takvatn;20;90; 1/4;0,1452;0,1469;0,0017;0,0068;;
19;44211;Takvatn;60;50; 1/4;0,1469;0,1658;0,0189;0,0756;;
;44211;Takvatn;60-20;90;;;;;0,0592;;
7;44232;Takvatn;60;90; 1/8;0,1454;0,1513;0,0059;0,0472;;
9;44232;Takvatn;20;90; 1/4;0,1458;0,1471;0,0013;0,0052;;
8;44232;Takvatn;60;50; 1/8;0,1446;0,1523;0,0077;0,0616;;
;44232;Takvatn;60-20;90;;;;;0,042;;
14;44273;Takvatn;60;90; 1/4;0,1455;0,1552;0,0097;0,0388;;
26;44273;Takvatn;20;90; 1/4;0,1463;0,1475;0,0012;0,0048;;
25;44273;Takvatn;60;50; 1/4;0,1457;0,1496;0,0039;0,0156;;
;44273;Takvatn;60-20;90;;;;;0,034;;
13;44305;Takvatn;60;90; 1/4;0,1463;0,1512;0,0049;0,0196;;
12;44305;Takvatn;20;90; 1/4;0,1443;0,1459;0,0016;0,0064;;
11;44305;Takvatn;60;50; 1/4;0,149;0,1555;0,0065;0,026;;
;44305;Takvatn;60-20;90;;;;;0,0132;;
5;44320;Takvatn;60;90; 1/4;0,1473;0,1521;0,0048;0,0192;;
6;44320;Takvatn;20;90; 1/4;0,1474;0,1493;0,0019;0,0076;;
4;44320;Takvatn;60;50; 1/4;0,1297;0,1321;0,0024;0,0096;;
;44320;Takvatn;60-20;90;;;;;0,0116;;
1;44335;Takvatn;60;90; 1/4;0,1498;0,1541;0,0043;0,0172;;
3;44335;Takvatn;20;90; 1/4;0,1481;0,15;0,0019;0,0076;;
2;44335;Takvatn;60;50; 1/4;0,1451;0,1488;0,0037;0,0148;;
;44335;Takvatn;60-20;90;;;;;0,0096;;
28;44355;Takvatn;60;90; 1/4;0,1318;0,1371;0,0053;0,0212;;
29;44355;Takvatn;20;90; 1/4;0,1328;0,1353;0,0025;0,01;;
27;44355;Takvatn;60;50; 1/4;0,1319;0,1387;0,0068;0,0272;;
;44355;Takvatn;60-20;90;;;;;0,0112;;
