Number;Location;Date;Fraction_nethaul;Depth;net_size;Sample_vol;Subsample;Nauplii %;Cyclopoid C1-C3 %;Cyclopoid C4-C5;Cyclops scutifer?;Cyclops scutifer ?;Calanoid C1-C3;Calanoid C4-C5;E.G.F;E.G.M ;with eggs;loose egg sack;eud+ spermatophore;D. galeata;H. appendiculata;bosmina sp.;Daphnia longspina;Total;Total- nauplii;tot F eud
9;Takvatn;44131; 1/2;20;90;200;50;32;32;552;80;0;0;248;368;272;0;0;0;24;8;0;8;1616;in lugol;1584
5;Takvatn;44159; 1/4;20;90;200;40;180;100;920;20;0;0;780;400;580;0;0;0;0;0;20;0;2980;;2800
1;Takvatn;44211; 1/2;20;90;200;40;0;0;380;80;0;0;250;270;250;30;0;0;10;10;0;0;1280;Nauplii not counted;1280
4;Takvatn;44232; 1/4;20;90;200;200;116;0;144;8;0;0;220;152;148;32;16;28;0;0;0;0;864;;748
2;Takvatn;44273; 1/2;20;90;200;50;376;40;408;56;0;0;264;216;280;320;0;0;0;0;0;0;1960;;1584
8;Takvatn;44305; 1/2;20;90;200;30;1067;40;840;0;0;0;480;200;333;427;27;13;0;0;0;0;3427;;2360
3;Takvatn;44320; 1/2;20;90;200;40;1470;0;760;10;0;0;360;240;390;190;100;0;0;0;0;0;3520;;2050
6;Takvatn;44335; 1/2;20;90;200;30;1707;80;693;0;0;13;267;213;347;173;40;40;0;0;0;0;3573;;1867
7;Takvatn;44355; 1/2;20;90;200;30;2653;13;560;133;0;0;333;400;373;107;13;0;0;0;53;0;4587;;1933
5;Takvatn;44131; 1/8;60;90;200;30;1547;53;5547;0;0;160;1227;1547;1173;0;0;0;107;107;213;107;11467;;9920
8;Takvatn;44159; 1/8;60;90;200;60;1920;187;2080;80;0;0;1067;1067;747;0;0;0;80;27;27;0;7253;;5333
2;Takvatn;44211; 1/4;60;90;200;30;1920;160;2293;27;0;0;1360;1253;1493;133;0;107;27;0;27;0;8773;;6853
3;Takvatn;44232; 1/8;60;90;200;40;1880;0;2320;0;0;0;1120;1160;2080;400;360;360;0;0;0;0;9680;;7800
4;Takvatn;44273; 1/4;60;90;200;30;2427;27;2693;0;0;27;1173;160;1120;800;267;107;0;0;0;0;8800;;6373
7;Takvatn;44305; 1/4;60;90;200;30;4560;80;1840;27;0;0;1253;453;853;373;107;27;0;0;0;0;9573;1 cyclops +eggs;5013
6;Takvatn;44320; 1/4;60;90;200;30;6293;0;1867;53;0;27;1627;453;533;400;107;80;0;0;0;0;11440;;5147
9;Takvatn;44335; 1/4;60;90;200;40;5320;20;1180;0;0;0;880;540;680;580;120;20;0;0;0;0;9340;;4020
1;Takvatn;44355; 1/4;60;90;200;50;4976;0;880;192;0;0;880;448;464;112;64;32;0;0;0;0;8048;;3072
5;Takvatn;44131;;60-20;90;;;1515;21;4995;-80;0;160;979;1179;901;0;0;0;83;99;213;99;9851;;8336
8;Takvatn;44159;;60-20;90;;;1740;87;1160;60;0;0;287;667;167;0;0;0;80;27;7;0;4273;;2533
2;Takvatn;44211;;60-20;90;;;1920;160;1913;-53;0;0;1110;983;1243;103;0;107;17;-10;27;0;7493;;5573
3;Takvatn;44232;;60-20;90;;;1764;0;2176;-8;0;0;900;1008;1932;368;344;332;0;0;0;0;8816;;7052
4;Takvatn;44273;;60-20;90;;;2051;-13;2285;-56;0;27;909;-56;840;480;267;107;0;0;0;0;6840;;4789
7;Takvatn;44305;;60-20;90;;;3493;40;1000;27;0;0;773;253;520;-54;80;14;0;0;0;0;6146;;2653
6;Takvatn;44320;;60-20;90;;;4823;0;1107;43;0;27;1267;213;143;210;7;80;0;0;0;0;7920;;3097
9;Takvatn;44335;;60-20;90;;;3613;-60;487;0;0;-13;613;327;333;407;80;-20;0;0;0;0;5767;;2153
1;Takvatn;44355;;60-20;90;;;2323;-13;320;59;0;0;547;48;91;5;51;32;0;0;-53;0;3461;;1139
